title,count
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,36
Bulletin of the World Health Organization,36
The Lancet Infectious Diseases,36
Physical Chemistry Chemical Physics,36
Brain Research,36
IEEE Transactions on Biomedical Engineering,36
Progress in Biomedical Optics and Imaging - Proceedings of SPIE,35
Journal of Rheumatology,35
Bone,35
ACS Applied Materials and Interfaces,35
Reviews of Modern Physics,35
Anesthesia and Analgesia,34
Journal of Autism and Developmental Disorders,34
Biochemical Journal,34
Clinical Orthopaedics and Related Research,34
Tissue Engineering - Part A,34
Journal of Hypertension,34
European Radiology,34
Journal of Human Evolution,33
American Journal of Medicine,33
Journal of Epidemiology and Community Health,33
Nature Reviews Drug Discovery,33
Journal of the International AIDS Society,33
"Journal of Trauma - Injury, Infection and Critical Care",33
Molecular Psychiatry,33
Cell Host and Microbe,33
IEEE Transactions on Pattern Analysis and Machine Intelligence,32
Scripta Materialia,32
Psychoneuroendocrinology,32
Angew. Chem.,32
PLoS Biology,32
BMJ Open,32
Intensive Care Medicine,32
International Journal of Geriatric Psychiatry,32
Journal of the Neurological Sciences,32
PLoS Computational Biology,32
Journal of Biomedical Optics,32
AIDS Patient Care and STDs,32
Journal of Heart and Lung Transplantation,32
International Journal of Drug Policy,32
Journal of Pediatric Surgery,32
Magnetic Resonance Imaging,32
Experimental Eye Research,32
Clinical Gastroenterology and Hepatology,32
Accounts of Chemical Research,31
Multiple Sclerosis Journal,31
Transfusion,31
American Journal of Pathology,31
Tropical Medicine and International Health,31
Critical Care,31
Psychiatry Research,31
Nature Physics,31
Nature Reviews Microbiology,31
Circulation: Heart Failure,30
Genetics in Medicine,30
Cerebral Cortex,30
Infection Control and Hospital Epidemiology,30
Monthly Notices of the Royal Astronomical Society: Letters,30
BMC Genomics,30
Medicine and Science in Sports and Exercise,30
Journal of Bone and Mineral Research,30
Schizophrenia Research,30
"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",30
CA Cancer Journal for Clinicians,30
Quality of Life Research,30
Journal of Statistical Software,30
Neuropsychopharmacology,30
Human Brain Mapping,29
Journal of Personality and Social Psychology,29
"Journal of Neurology, Neurosurgery and Psychiatry",29
American Journal of Geriatric Psychiatry,29
Arthritis and Rheumatism,29
Journal of Psychiatric Research,29
Physics Letters B,29
Heart,29
Archives of Physical Medicine and Rehabilitation,29
Trends in Cognitive Sciences,28
BMC Health Services Research,28
Journal of Geophysical Research E: Planets,28
Journal of the American Heart Association,28
Journal of Hepatology,28
Journal of the American Society of Echocardiography,28
Journal of Experimental Biology,28
mBio,28
Chemistry of Materials,28
Nanoscale,28
Movement Disorders,28
Health Services Research,28
Gerontologist,28
European Journal of Neuroscience,28
Advanced Functional Materials,28
Nature Photonics,27
Cell Metabolism,27
Schizophrenia Bulletin,27
NMR in Biomedicine,27
Neuroscience and Biobehavioral Reviews,27
Proc. SPIE,27
Child Development,27
Physical Review,27
Journal of Clinical Psychiatry,27
Journal of Physical Chemistry A,27
Lab on a Chip,27
Cancer Discovery,27
Nature Chemical Biology,27
Ecology,27
Journal of Comparative Neurology,27
Materials Science and Engineering A,27
Neurobiology of Aging,26
Allergy: European Journal of Allergy and Clinical Immunology,26
Journal of Psychosomatic Research,26
Journal of Medical Internet Research,26
AIDS Research and Human Retroviruses,26
JAMA Oncology,26
Advanced Drug Delivery Reviews,26
British Journal of Ophthalmology,26
Development,26
Endocrinology,26
Water Resources Research,26
Cell Stem Cell,26
"Nuclear Physics, Section B",26
Methods in Molecular Biology,26
American Psychologist,26
Applied Optics,25
European Spine Journal,25
Gynecologic Oncology,25
Archives of Pediatrics and Adolescent Medicine,25
Experimental Neurology,25
Medicine (United States),25
FEBS Letters,25
Chemistry - A European Journal,25
Frontiers in Microbiology,25
"American Journal of Medical Genetics, Part A",25
Psychosomatic Medicine,25
Osteoarthritis and Cartilage,25
Nicotine and Tobacco Research,25
European Journal of Cancer,25
Arthritis and Rheumatology,25
JAMA Surgery,25
Journal of Econometrics,25
Brain and Language,25
Head and Neck,24
Patient Education and Counseling,24
Pediatric Critical Care Medicine,24
Obesity,24
Journal of Antimicrobial Chemotherapy,24
British Journal of Cancer,24
Urology,24
Annual Review of Fluid Mechanics,24
Journal of Neurology,24
Journal of Neurochemistry,24
Journal of Finance,24
Soft Matter,24
Psychopharmacology,24
European Journal of Nuclear Medicine and Molecular Imaging,24
Chemical Science,24
Journal of Bacteriology,24
JAMA Neurology,24
International Journal of Tuberculosis and Lung Disease,24
BMC Medicine,24
Nanotechnology,24
Annual Review of Biochemistry,24
Review of Economic Studies,24
Annals of the American Thoracic Society,23
Biomedical Optics Express,23
Quarterly Journal of Economics,23
Psychological Review,23
Experimental Brain Research,23
American Journal of Physical Anthropology,23
Journal of Trauma and Acute Care Surgery,23
Journal of Biomechanics,23
Arthritis Care and Research,23
Alzheimer's and Dementia,23
Human Mutation,23
Journal of Structural Biology,23
BMC Infectious Diseases,23
Journal of Biomechanical Engineering,23
Optics Letters,23
Computer Physics Communications,23
American Journal of Gastroenterology,23
Journal of Child Psychology and Psychiatry and Allied Disciplines,23
Altex,23
Clinical and Experimental Allergy,22
JAMA Pediatrics,22
Health Psychology,22
Cognition,22
Studies in Family Planning,22
Clinical Pharmacology and Therapeutics,22
Nature Chemistry,22
Modern Pathology,22
Methods in Enzymology,22
"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",22
Implementation Science,22
American Journal of Infection Control,22
Astrophysics and Space Science,22
IEEE Transactions on Automatic Control,22
CMAJ,22
Nuclear Fusion,22
Age and Ageing,22
Physical Review X,22
Multiple Sclerosis,22
Acta Neuropathologica,22
Mayo Clinic Proceedings,22
The Lancet Global Health,22
Journal of Neuro-Oncology,22
Human Pathology,21
Annals of Surgical Oncology,21
Journal of Interpersonal Violence,21
Health Policy and Planning,21
Pediatric Neurology,21
Organometallics,21
Medical Image Analysis,21
Journal of the Acoustical Society of America,21
PASP,21
Journal of Pharmacology and Experimental Therapeutics,21
Archives of Otolaryngology - Head and Neck Surgery,21
Planetary and Space Science,21
JAMA Psychiatry,21
Neurogastroenterology and Motility,21
Genetic Epidemiology,21
Science of the Total Environment,21
Circulation: Cardiovascular Imaging,21
British Journal of Pharmacology,21
Genome Medicine,21
Science Advances,21
Protein Science,21
Journal of Advanced Nursing,21
Dalton Transactions,21
European Journal of Heart Failure,21
Journal of the Atmospheric Sciences,21
Journal of Economic Theory,21
Cell Death and Differentiation,21
Journal of Pain and Symptom Management,21
The Lancet Diabetes and Endocrinology,21
Developmental Psychology,21
Journal of Surgical Research,21
Journal of Child and Adolescent Psychopharmacology,21
BMC Cancer,20
Oral Oncology,20
Journal of Hand Surgery,20
Energy and Environmental Science,20
Journal of Medicinal Chemistry,20
Annals of Biomedical Engineering,20
Philosophical Transactions of the Royal Society B: Biological Sciences,20
Trends in Neurosciences,20
Otolaryngology - Head and Neck Surgery (United States),20
Maternal and Child Nutrition,20
Molecular Pharmaceutics,20
Chemistry and Biology,20
Seminars in Dialysis,20
Vision Research,20
Journal of Geophysical Research,20
Journal of Pediatric Psychology,20
British Journal of Psychiatry,20
Gut,20
Earth and Planetary Science Letters,20
Genetics,20
Journal of Abnormal Child Psychology,20
Operations Research,20
Current Opinion in HIV and AIDS,20
RNA,20
Trials,19
Physical Review C - Nuclear Physics,19
Chemical Physics Letters,19
Developmental Medicine and Child Neurology,19
American Journal of Respiratory Cell and Molecular Biology,19
BMC Medical Research Methodology,19
Heart Rhythm,19
Behavioural Brain Research,19
Journal of Educational Psychology,19
Cold Spring Harbor Perspectives in Biology,19
Annals of Oncology,19
Emerging Infectious Diseases,19
IEEE Transactions on Power Systems,19
AJ,19
Combustion and Flame,19
HIV Medicine,19
European Journal of Pharmacology,19
Leukemia,19
Journal of Visualized Experiments,19
Annual Review of Immunology,19
Journal of the American Academy of Dermatology,19
Journal of Hospital Medicine,19
BJU International,19
JAMA Ophthalmology,19
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",19
Fertility and Sterility,19
Journal of Critical Care,19
Neuropsychologia,19
Stem Cells,19
Archives of Surgery,19
Review of Scientific Instruments,19
Biosensors and Bioelectronics,19
Neuropharmacology,18
"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",18
Mon. Not. R. Astron. Soc.,18
FEBS Journal,18
Annual Review of Public Health,18
Free Radical Biology and Medicine,18
European Journal of Operational Research,18
Journal of Endourology,18
Nucl. Fusion,18
Pediatric Blood and Cancer,18
ApJS,18
Boundary-Layer Meteorology,18
Astrophys. J.,18
Annual Review of Neuroscience,18
Clinical Microbiology Reviews,18
Cellular and Molecular Life Sciences,18
Liver Transplantation,18
Frontiers in Human Neuroscience,18
Journal of Clinical Child and Adolescent Psychology,18
Oncologist,18
Surgery,18
Journal of Health Economics,18
Health Education and Behavior,18
Stem Cells Translational Medicine,18
Brain and Cognition,18
International Journal of Plasticity,18
American Journal of Physiology - Renal Physiology,18
J. Geophys. Res.,17
Journal of Cognitive Neuroscience,17
Journal of Structural Engineering (United States),17
Bipolar Disorders,17
Journal of Physical Chemistry,17
Current Opinion in Structural Biology,17
Epilepsy and Behavior,17
Annals of Epidemiology,17
"Physical Review E - Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics",17
Current Opinion in Chemical Engineering,17
Space Science Reviews,17
Astronomy and Astrophysics Supplement Series,17
Current Opinion in Microbiology,17
BMJ Quality and Safety,17
NeuroImage: Clinical,17
Journal of Proteome Research,17
Clinical Genetics,17
European Journal of Epidemiology,17
Environment International,17
Journal of Urban Health,17
American Journal of Physiology - Cell Physiology,17
Journal of Orthopaedic Research,17
Journal of Clinical Sleep Medicine,17
Journal of Counseling Psychology,17
"Cancer Immunology, Immunotherapy",17
Journal of Neurosurgery: Spine,17
Journal of Child Neurology,17
Proceedings of the IEEE,17
Europace,17
Journal of Genetic Counseling,17
Psychological Methods,17
Atmospheric Chemistry and Physics,17
Journal of Pathology,17
Trends in Cell Biology,17
Circulation: Arrhythmia and Electrophysiology,17
Radiotherapy and Oncology,17
Journal of Cellular Physiology,17
Structure,17
Clinical and Vaccine Immunology,17
Physics Reports,17
Biochemical Pharmacology,17
Journal of Orthopaedic Trauma,16
Drugs,16
BMJ,16
Transactions of the Royal Society of Tropical Medicine and Hygiene,16
Journal of Health and Social Behavior,16
Prevention Science,16
International Psychogeriatrics,16
British Journal of Surgery,16
Neuroradiology,16
American Journal of Physiology - Lung Cellular and Molecular Physiology,16
Cardiovascular Research,16
Physiological Reviews,16
Journal of Political Economy,16
Communications in Mathematical Physics,16
Computer Methods in Applied Mechanics and Engineering,16
Journals of Gerontology - Series B Psychological Sciences and Social Sciences,16
Social Psychiatry and Psychiatric Epidemiology,16
Current Opinion in Neurobiology,16
Injury,16
Neuroscience Letters,16
Physical Therapy,16
Maternal and Child Health Journal,16
International Journal of Environmental Research and Public Health,16
Rheumatology (United Kingdom),16
Gene,16
Progress in Brain Research,16
Journal of Public Health Management and Practice,16
Neuro-Oncology,16
Journal of Lipid Research,16
Trends in Immunology,16
Journal of Experimental Psychology: Human Perception and Performance,16
Neurocritical Care,16
Acta Metallurgica,16
Environmental Research,16
American Journal of Surgery,16
Engineering Structures,16
Alimentary Pharmacology and Therapeutics,16
Developmental Biology,16
Statistical Science,16
Journal of Neuroscience Methods,16
Journal of Physical Oceanography,16
Human Genetics,16
Clinical Neurophysiology,15
Epigenetics,15
Joint Commission Journal on Quality and Patient Safety,15
Archives of Disease in Childhood,15
Journal of Physical Chemistry Letters,15
Journal of Alzheimer's Disease,15
International Journal of Computer Assisted Radiology and Surgery,15
European Journal of Human Genetics,15
American Journal of Physiology - Regulatory Integrative and Comparative Physiology,15
Nature Reviews Neurology,15
British Journal of Haematology,15
Journal of the Electrochemical Society,15
Journal of Cardiovascular Electrophysiology,15
Mathematical Programming,15
JACC: Heart Failure,15
Journal of the American Medical Informatics Association,15
"Annals of Allergy, Asthma and Immunology",15
Computers and Structures,15
BJOG: An International Journal of Obstetrics and Gynaecology,15
Journal of Immigrant and Minority Health,15
Nature Reviews Cardiology,15
Trends in Biochemical Sciences,15
Medical Journal of Australia,15
Development (Cambridge),15
Journal of Aerosol Science,15
Journal of Anxiety Disorders,15
World Journal of Surgery,15
Biotechnology Progress,15
Gene Therapy,15
Pediatric Research,15
"Proteins: Structure, Function and Bioinformatics",15
RSC Advances,15
Epidemiologic Reviews,15
Acta Neurochirurgica,15
Bioconjugate Chemistry,15
Obesity Reviews,15
Frontiers in Neuroscience,15
British Journal of Sports Medicine,15
Reliability Engineering and System Safety,15
International Journal for Numerical Methods in Engineering,15
Molecular Microbiology,15
Frontiers in Immunology,15
Acta Psychiatrica Scandinavica,15
European Journal of Cardio-thoracic Surgery,15
Proceedings of the Royal Society B: Biological Sciences,15
Journal of Occupational and Environmental Medicine,15
Journal of Aging and Health,15
European Journal of Immunology,15
Proteomics,15
Journal of the American Medical Directors Association,15
Journal of Cellular Biochemistry,15
Psychological Assessment,15
World Journal of Gastroenterology,15
Frontiers in Psychology,15
Digestive Diseases and Sciences,14
"Brain, Behavior, and Immunity",14
Chemical Physics,14
Journal of Youth and Adolescence,14
Pediatric Infectious Disease Journal,14
American Mineralogist,14
J. Chem. Phys.,14
JNCCN Journal of the National Comprehensive Cancer Network,14
AIAA Journal,14
Immunological Reviews,14
Tuberculosis,14
Journal of the Royal Statistical Society. Series B: Statistical Methodology,14
Archives of Pathology and Laboratory Medicine,14
Sociological Methods and Research,14
Journal of Physics D: Applied Physics,14
Ecology Letters,14
BMC Pediatrics,14
Nutrients,14
Clinical and Experimental Immunology,14
Rheumatology,14
Clinical Psychology Review,14
The American Journal of Cardiology,14
American Journal of Physiology - Gastrointestinal and Liver Physiology,14
Journal of Cardiac Failure,14
OncoImmunology,14
Journal of Pediatric Orthopaedics,14
Journal of Substance Abuse Treatment,14
Nature Reviews Urology,14
Journal of Neuroinflammation,14
Clinica Chimica Acta,14
Wind Energy,14
Molecular Systems Biology,14
Annual Review of Psychology,14
Journal of Ultrasound in Medicine,14
Journal of Arthroplasty,14
Medical Care Research and Review,14
Statistical Methods in Medical Research,14
Journal of Thrombosis and Haemostasis,14
British Journal of Clinical Pharmacology,14
Philosophical Magazine,14
Hearing Research,14
Behaviour Research and Therapy,14
Circulation: Cardiovascular Quality and Outcomes,14
Public Health Reports,14
Proceedings - IEEE International Conference on Robotics and Automation,14
Aphasiology,14
Osteoporosis International,14
Journal of Biotechnology,14
Journal of Women's Health,14
Antiviral Therapy,14
Investigative Radiology,14
Haematologica,14
Antioxidants and Redox Signaling,14
The Lancet Respiratory Medicine,14
Journal of Neuroimmunology,14
Journal of Constructional Steel Research,14
Journal of the American College of Radiology,14
Arthroscopy - Journal of Arthroscopic and Related Surgery,14
American Review of Respiratory Disease,14
Molecular Biology and Evolution,14
Public Health Nutrition,14
Autism,14
Acta Crystallographica Section D: Biological Crystallography,14
Cell Cycle,14
Health and Quality of Life Outcomes,13
Journal of Nuclear Materials,13
Journal of Marketing Research,13
Surgical Neurology,13
Inventiones Mathematicae,13
Journal of Molecular and Cellular Cardiology,13
Molecular Neurobiology,13
British Journal of Radiology,13
European Journal of Neurology,13
Journal of Immunological Methods,13
Lupus,13
Accident Analysis and Prevention,13
Journal of Chemical Theory and Computation,13
Molecular Therapy,13
Acta Biomaterialia,13
Journal of Computational Chemistry,13
Cancer Letters,13
Neurology: Neuroimmunology and NeuroInflammation,13
Journal of Pediatric Gastroenterology and Nutrition,13
Journal of Clinical Pharmacology,13
Qualitative Health Research,13
Graefe's Archive for Clinical and Experimental Ophthalmology,13
Otology and Neurotology,13
American Journal of Emergency Medicine,13
Neurobiology of Disease,13
Health and Place,13
Journal of Palliative Medicine,13
Arthritis Research and Therapy,13
International Journal of Gynecology and Obstetrics,13
Polymer,13
Transactions of the American Mathematical Society,13
Journal of the American Dietetic Association,13
Current Opinion in Psychiatry,13
Neuropsychology Review,13
American Statistician,13
Small,13
Prostate,13
The Journal of Pediatrics,13
BioMed Research International,13
Retina,13
Annals of Statistics,13
Annual Review of Biomedical Engineering,13
Clinical Trials,13
Journal of Shoulder and Elbow Surgery,13
Globalization and Health,13
Soil Biology and Biochemistry,13
Journal of Developmental and Behavioral Pediatrics,13
JACC: Cardiovascular Interventions,13
IEEE Transactions on Image Processing,13
European Heart Journal Cardiovascular Imaging,13
Spine Journal,13
Controlled Clinical Trials,13
Contemporary Clinical Trials,13
Current HIV/AIDS Reports,13
Molecular Cancer Therapeutics,13
Preventing Chronic Disease,13
Journal of Emergency Medicine,13
Biochimica et Biophysica Acta - Molecular Basis of Disease,13
Otolaryngology - Head and Neck Surgery,13
Addictive Behaviors,13
Biochemical Society Transactions,13
Physiology and Behavior,13
Journal of Neuropathology and Experimental Neurology,12
Structural Safety,12
Microelectronic Engineering,12
World Neurosurgery,12
Diabetes Research and Clinical Practice,12
Geotechnique,12
International Journal of Pharmaceutics,12
BMC Research Notes,12
Journal of Organic Chemistry,12
"Knee Surgery, Sports Traumatology, Arthroscopy",12
International Journal of Biochemistry and Cell Biology,12
Neurosurgical Focus,12
Journal of Geophysical Research: Space Physics,12
FEMS Microbiology Letters,12
Experimental Cell Research,12
Applied Microbiology and Biotechnology,12
Surface Science,12
American Journal of Clinical Pathology,12
Review of Financial Studies,12
Journal of the National Medical Association,12
Mechanics of Materials,12
Urban Ecosystems,12
International Journal of Computer Vision,12
Biotechnology Journal,12
Human Reproduction,12
Nature Reviews Clinical Oncology,12
Journal of Neuroimaging,12
Publications of the Astronomical Society of Japan,12
Annual Review of Materials Research,12
Neuromuscular Disorders,12
NeuroReport,12
Journal of Physics: Conference Series,12
Sleep Medicine Reviews,12
Structural Equation Modeling,12
Molecular Ecology,12
Nature Geoscience,12
Neuropsychology,12
The Journal of Finance,12
Chemical Engineering Journal,12
European Journal of Radiology,12
Injury Prevention,12
RNA Biology,12
Current Opinion in Colloid and Interface Science,12
Journal of Quantitative Spectroscopy and Radiative Transfer,12
IEEE Transactions on Signal Processing,12
J. High Energy Phys.,12
ACS Chemical Biology,12
Cadernos de Saude Publica,12
Child's Nervous System,12
Health Education Research,12
"Sensors and Actuators, B: Chemical",12
Applied Energy,12
Environmental Pollution,12
Molecular Pharmacology,12
Biostatistics,12
Physical Review A,12
IEEE Transactions on Robotics and Automation,12
Journal of Financial Economics,12
Cellular Microbiology,12
Current Opinion in Immunology,12
International Journal of Molecular Sciences,12
Journal of Leukocyte Biology,11
Journal of Magnetic Resonance,11
American Journal of Sociology,11
Neoplasia,11
Journal of Magnetism and Magnetic Materials,11
European Journal of Biochemistry,11
Ethnicity and Disease,11
Molecular Physics,11
The Journal of Allergy and Clinical Immunology,11
"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH",11
IEEE Transactions on Geoscience and Remote Sensing,11
Journal of the Royal Society of Medicine,11
Antiviral Research,11
Trends in Genetics,11
British Journal of Dermatology,11
Journal of Clinical and Experimental Neuropsychology,11
Cellular Signalling,11
Journal of Hydrology,11
Journal of Neuroscience Research,11
International Journal of Pediatric Otorhinolaryngology,11
Matrix Biology,11
Surgery (United States),11
Circulation Journal,11
Drugs and Aging,11
"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",11
Journal of Materials Chemistry,11
Anaesthesia,11
Respiratory Research,11
Brain Stimulation,11
Head and Neck Pathology,11
Clinical Therapeutics,11
Alzheimer Disease and Associated Disorders,11
The Lancet HIV,11
Bulletin of the American Meteorological Society,11
Health Economics (United Kingdom),11
Genome biology,11
Cancer Science,11
Physica D: Nonlinear Phenomena,11
Harm Reduction Journal,11
Current Pharmaceutical Design,11
Trends in Pharmacological Sciences,11
Nature Reviews Gastroenterology and Hepatology,11
bioRxiv,11
Journal of Psychopharmacology,11
American Journal of Community Psychology,11
Academic Radiology,11
European Journal of Inorganic Chemistry,11
Systematic Biology,11
International Journal of Nursing Studies,11
Clinical Journal of Pain,11
Milbank Quarterly,11
Journal of Bone and Joint Surgery - Series B,11
Inflammatory Bowel Diseases,11
